keys,en,es
UI_AGE_DARK,Dark Age,Edad Oscura
UI_AGE_FEUDAL,Feudal Age,Edad Feudal
UI_AGE_CASTLE,Castle Age,Edad del Castillo
UI_AGE_IMPERIAL,Imperial Age,Era Imperial
UI_POP,Pop: %d/%d,Pob: %d/%d
UI_BUILDING,Building,Edificio
UI_UNIT,Unit,Unidad
UI_ANIMAL,Animal,Animal
UI_TOWN_CENTER,Town Center,Centro Urbano
UI_STATUS_MOVING,Moving,Moviéndose
UI_STATUS_ATTACKING,Attacking,Atacando
UI_STATUS_GATHERING,Gathering,Recolectando
UI_STATUS_GATHERING_RES,Gathering %s  %d / %d,Recolectando %s  %d / %d
UI_STATUS_RETURNING,Returning,Volviendo
UI_STATUS_RETURNING_RES,Returning  %s %d,Volviendo  %s %d
UI_STATUS_BUILDING,Building,Construyendo
UI_STATUS_DEAD,Dead,Muerto
UI_STATUS_YOURS,Yours,Tuyo
UI_STATUS_WILD,Wild,Salvaje
UI_GATE_LOCKED,LOCKED,BLOQUEADA
UI_GATE_OPEN,Open,Abierta
UI_GATE_CLOSED,Closed,Cerrada
UI_GATE_LOCK,Lock,Bloquear
UI_GATE_UNLOCK,Unlock,Desbloquear
UI_ADVANCE,Advance,Avanzar
UI_IDLE_VILLAGER,Idle Villager,Aldeano Inactivo
UI_IDLE_MILITARY,Idle Military,Militar Inactivo
ACTION_WOOD,Wood,Madera
ACTION_GOLD,Gold,Oro
ACTION_STONE,Stone,Piedra
ACTION_FOOD,Food,Comida
ACTION_BUILD,Build,Construir
ACTION_STOP,Stop,Parar
ACTION_COVER_FIRE,Cover Fire,Fuego de Cobertura
ACTION_MOVE_TO,Move,Mover
ACTION_ATTACK_MOVE,Attack Move,Atacar-Mover
ACTION_DESTROY,Destroy,Destruir
ACTION_SHOW_PATH,Show Path,Ver Ruta
ACTION_BACK,← Back,← Volver
ACTION_HOUSE,House\n25W,Casa\n25M
ACTION_BARRACKS,Barracks\n175W,Cuartel\n175M
ACTION_LUMBER,Lumber\n100W,Campamento Maderero\n100M
ACTION_MINING,Mining\n100W,Minería\n100M
ACTION_FARM,Farm\n60W,Granja\n60M
ACTION_WALL,Wall\n5S,Muro\n5P
ACTION_GATE,Gate\n30W,Puerta\n30M
ACTION_VILLAGER,Villager\n50F,Aldeano\n50C
ACTION_DOCK,Dock\n150W,Puerto\n150M
ACTION_FISHING_BOAT,Fishing Boat,Barco Pesquero
UI_UNLOAD,Unload,Desembarcar
UI_GARRISON_STATUS,Garrison: %d / %d,Tripulación: %d / %d
ACTION_FISH_TRAP,Fish Trap,Trampa de Peces
ACTION_BLACKSMITH,Blacksmith\n150W,Herrería\n150M
ACTION_ARCHERY_RANGE,Archery Range\n175W,Sala de Tiro\n175M
ACTION_STABLE,Stable\n175W,Cuadra\n175M
ACTION_UNIVERSITY,University\n200W,Universidad\n200M
ACTION_MARKET,Market\n175W,Mercado\n175M
ACTION_TEMPLE,Temple\n175W,Templo\n175M
ACTION_WONDER,Wonder\n2500W 2500F 2500S 5000G,Maravilla\n2500M 2500C 2500P 5000O
